"","Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Broad_Bean_Origin","Bitter"
"1","A. Morin","Agua Grande",1876,2016,63,"France",3.75,"Sao Tome","yes"
"2","A. Morin","Kpime",1676,2015,70,"France",2.75,"Togo","yes"
"3","A. Morin","Atsane",1676,2015,70,"France",3,"Togo","yes"
"4","A. Morin","Akata",1680,2015,70,"France",3.5,"Togo","yes"
"5","A. Morin","Quilla",1704,2015,70,"France",3.5,"Peru","yes"
"6","A. Morin","Carenero",1315,2014,70,"France",2.75,"Venezuela","yes"
"7","A. Morin","Cuba",1315,2014,70,"France",3.5,"Cuba","yes"
"8","A. Morin","Sur del Lago",1315,2014,70,"France",3.5,"Venezuela","yes"
"9","A. Morin","Puerto Cabello",1319,2014,70,"France",3.75,"Venezuela","yes"
"10","A. Morin","Pablino",1319,2014,70,"France",4,"Peru","yes"
"11","A. Morin","Panama",1011,2013,70,"France",2.75,"Panama","yes"
"12","A. Morin","Madagascar",1011,2013,70,"France",3,"Madagascar","yes"
"13","A. Morin","Brazil",1011,2013,70,"France",3.25,"Brazil","yes"
"14","A. Morin","Equateur",1011,2013,70,"France",3.75,"Ecuador","yes"
"15","A. Morin","Colombie",1015,2013,70,"France",2.75,"Colombia","yes"
"16","A. Morin","Birmanie",1015,2013,70,"France",3,"Burma","yes"
"17","A. Morin","Papua New Guinea",1015,2013,70,"France",3.25,"Papua New Guinea","yes"
"18","A. Morin","Chuao",1015,2013,70,"France",4,"Venezuela","yes"
"19","A. Morin","Piura",1019,2013,70,"France",3.25,"Peru","yes"
"20","A. Morin","Chanchamayo Province",1019,2013,70,"France",3.5,"Peru","yes"
"21","A. Morin","Chanchamayo Province",1019,2013,63,"France",4,"Peru","yes"
"22","A. Morin","Bolivia",797,2012,70,"France",3.5,"Bolivia","yes"
"23","A. Morin","Peru",797,2012,63,"France",3.75,"Peru","yes"
"24","Acalli","Chulucanas, El Platanal",1462,2015,70,"U.S.A.",3.75,"Peru","yes"
"25","Acalli","Tumbes, Norandino",1470,2015,70,"U.S.A.",3.75,"Peru","yes"
"26","Adi","Vanua Levu",705,2011,60,"Fiji",2.75,"Fiji","no"
"27","Adi","Vanua Levu, Toto-A",705,2011,80,"Fiji",3.25,"Fiji","yes"
"28","Adi","Vanua Levu",705,2011,88,"Fiji",3.5,"Fiji","yes"
"29","Adi","Vanua Levu, Ami-Ami-CA",705,2011,72,"Fiji",3.5,"Fiji","yes"
"30","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,55,"Ecuador",2.75,"Ecuador","no"
"31","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,70,"Ecuador",3,"Ecuador","yes"
"32","Ah Cacao","Tabasco",316,2009,70,"Mexico",3,"Mexico","yes"
"33","Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,75,"Switzerland",3.75,"Indonesia","yes"
"34","Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,75,"Switzerland",2.75,"Madagascar","yes"
"35","Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,75,"Switzerland",2.75,"Brazil","yes"
"36","Alain Ducasse","Trinite",1215,2014,65,"France",2.75,"Trinidad","yes"
"37","Alain Ducasse","Vietnam",1215,2014,75,"France",2.75,"Vietnam","yes"
"38","Alain Ducasse","Madagascar",1215,2014,75,"France",3,"Madagascar","yes"
"39","Alain Ducasse","Chuao",1061,2013,75,"France",2.5,"Venezuela","yes"
"40","Alain Ducasse","Piura, Perou",1173,2013,75,"France",2.5,"Peru","yes"
"41","Alexandre","Winak Coop, Napo",1944,2017,70,"Netherlands",3.5,"Ecuador","yes"
"42","Alexandre","La Dalia, Matagalpa",1944,2017,70,"Netherlands",3.5,"Nicaragua","yes"
"43","Alexandre","Tien Giang",1944,2017,70,"Netherlands",3.5,"Vietnam","yes"
"44","Alexandre","Makwale Village, Kyela",1944,2017,70,"Netherlands",3.5,"Tanzania","yes"
"45","Altus aka Cao Artisan","Momotombo",1728,2016,60,"U.S.A.",2.75,"Nicaragua","no"
"46","Altus aka Cao Artisan","Acopagro",1728,2016,60,"U.S.A.",3,"Peru","no"
"47","Altus aka Cao Artisan","CIAAB Coop",1732,2016,60,"U.S.A.",2.5,"Bolivia","no"
"48","Altus aka Cao Artisan","Villa Andina",1732,2016,60,"U.S.A.",2.5,"Peru","no"
"49","Altus aka Cao Artisan","Gruppo Salinas",1732,2016,60,"U.S.A.",2.75,"Ecuador","no"
"50","Altus aka Cao Artisan","Sur del Lago",1125,2013,60,"U.S.A.",2.5,"Venezuela","no"
"51","Altus aka Cao Artisan","Conacado",1125,2013,60,"U.S.A.",3,"Dominican Republic","no"
"52","Altus aka Cao Artisan","Bolivia",1129,2013,80,"U.S.A.",3.25,"Bolivia","yes"
"53","Altus aka Cao Artisan","Bolivia",1133,2013,60,"U.S.A.",3,"Bolivia","no"
"54","Altus aka Cao Artisan","Peru",1133,2013,60,"U.S.A.",3.25,"Peru","no"
"55","Amano","Morobe",725,2011,70,"U.S.A.",4,"Papua New Guinea","yes"
"56","Amano","Dos Rios",470,2010,70,"U.S.A.",3.75,"Dominican Republic","yes"
"57","Amano","Guayas",470,2010,70,"U.S.A.",4,"Ecuador","yes"
"58","Amano","Chuao",544,2010,70,"U.S.A.",3,"Venezuela","yes"
"59","Amano","Montanya",363,2009,70,"U.S.A.",3,"Venezuela","yes"
"60","Amano","Bali, Jembrana",304,2008,70,"U.S.A.",2.75,"Indonesia","yes"
"61","Amano","Madagascar",129,2007,70,"U.S.A.",3.5,"Madagascar","yes"
"62","Amano","Cuyagua",147,2007,70,"U.S.A.",3,"Venezuela","yes"
"63","Amano","Ocumare",175,2007,70,"U.S.A.",3.75,"Venezuela","yes"
"64","Amatller (Simon Coll)","Ghana",322,2009,70,"Spain",3,"Ghana","yes"
"65","Amatller (Simon Coll)","Ecuador",327,2009,70,"Spain",2.75,"Ecuador","yes"
"66","Amatller (Simon Coll)","Ecuador",464,2009,85,"Spain",2.75,"Ecuador","yes"
"67","Amatller (Simon Coll)","Ghana",464,2009,85,"Spain",3,"Ghana","yes"
"68","Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72,"Peru",3.25,"Peru","yes"
"69","Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,73,"Peru",3.5,"Peru","yes"
"70","Ambrosia","Belize",1494,2015,64,"Canada",3,"Belize","yes"
"71","Ambrosia","Madagascar",1494,2015,66,"Canada",3.25,"Madagascar","yes"
"72","Ambrosia","Dominican Republic",1498,2015,75,"Canada",3.25,"Dominican Republic","yes"
"73","Ambrosia","Papua New Guinea",1498,2015,63,"Canada",3.25,"Papua New Guinea","yes"
"74","Ambrosia","Venezuela",1498,2015,70,"Canada",3.25,"Venezuela","yes"
"75","Ambrosia","Peru",1498,2015,68,"Canada",3.5,"Peru","yes"
"76","Amedei","Piura, Blanco de Criollo",979,2012,70,"Italy",3.75,"Peru","yes"
"77","Amedei","Porcelana",111,2007,70,"Italy",4,"Venezuela","yes"
"78","Amedei","Chuao",111,2007,70,"Italy",5,"Venezuela","yes"
"79","Amedei","Ecuador",123,2007,70,"Italy",3,"Ecuador","yes"
"80","Amedei","Jamaica",123,2007,70,"Italy",3,"Jamaica","yes"
"81","Amedei","Grenada",123,2007,70,"Italy",3.5,"Grenada","yes"
"82","Amedei","Venezuela",123,2007,70,"Italy",3.75,"Venezuela","yes"
"83","Amedei","Madagascar",123,2007,70,"Italy",4,"Madagascar","yes"
"84","Amedei","Trinidad",129,2007,70,"Italy",3.5,"Trinidad","yes"
